Simulation #,0
0,7221.531139585289
1,12111.624829064018
2,12958.729567361146
3,13457.315631283975
4,11934.561575525093
5,11823.54735263491
6,13862.34150495507
7,12116.583016675948
8,2455.956840011648
9,16629.70931796464
10,11431.498239513488
11,13533.797693182798
12,12564.399229569235
13,11066.407547167239
14,12020.61961797311
15,15668.401832988584
16,7670.909463681604
17,13736.453108426498
18,8318.399846124254
19,7953.482759143946
20,2359.0582866898394
21,9489.834982759185
22,14396.261736992697
23,11618.10586971904
24,6925.881026988552
25,11267.934327107165
26,12749.763919382978
27,7135.183809825785
28,8324.111484116487
29,10114.695052249475
